County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
McCone County,1728,46193.0,0.19,5.14,0.0,0.03,0.45,0.07,3.09,0.32,3.74
McCook County,5515,120693.0,0.12,3.42,0.03,0.0,0.33,0.08,1.21,0.61,2.83
McCormick County,9694,135774.0,0.03,1.7,1.31,0.01,0.58,0.47,0.81,0.62,2.71
McCracken County,65285,694923.0,0.08,2.04,0.41,0.02,0.54,0.14,0.85,0.54,2.21
McCreary County,17748,93663.0,0.05,2.11,0.07,0.0,0.84,0.4,0.43,0.42,1.81
McCulloch County,8145,132328.0,1.1,2.42,0.04,0.0,0.54,0.13,0.98,0.69,2.94
McCurtain County,33026,272169.0,0.12,1.53,0.19,0.01,0.57,0.15,0.56,0.47,2.04
McDonald County,22753,166720.0,0.2,1.38,0.03,0.02,0.34,0.11,0.35,0.29,1.4
McDonough County,31597,400096.0,0.09,2.8,0.14,0.07,0.84,0.29,1.0,0.7,2.38
McDowell County,64776,604563.0,0.11,2.44,0.16,0.01,0.73,0.26,0.67,0.6,2.31
McDuffie County,21488,214238.0,0.05,1.31,0.9,0.01,0.53,0.18,0.7,0.41,2.05
McHenry County,313994,4374819.0,0.22,1.41,0.02,0.04,0.13,0.09,0.61,0.27,1.41
McIntosh County,36615,411465.0,0.06,1.86,0.33,0.01,0.49,0.22,0.72,0.51,2.24
McKean County,42070,549147.0,0.06,2.69,0.05,0.01,0.52,0.22,0.83,0.62,2.29
McKenzie County,11679,290948.0,0.22,2.35,0.02,0.02,0.53,0.24,1.1,0.49,2.58
McKinley County,72849,556031.0,0.32,0.23,0.01,0.03,0.87,0.38,0.66,0.6,1.73
McLean County,192199,2854973.0,0.12,1.96,0.17,0.09,0.42,0.11,0.95,0.42,1.9
McLennan County,245720,2369349.0,0.53,1.12,0.32,0.03,0.43,0.12,0.63,0.4,1.66
McLeod County,35816,427445.0,0.12,1.79,0.01,0.01,0.16,0.06,0.59,0.34,1.65
McMinn County,52569,407969.0,0.08,1.69,0.07,0.01,0.37,0.16,0.52,0.31,1.61
McMullen County,600,71389.0,8.42,8.12,0.0,0.0,1.17,4.38,5.12,2.48,13.03
McNairy County,25945,241926.0,0.05,2.44,0.15,0.01,0.57,0.34,0.71,0.44,2.32
McPherson County,31590,510315.0,0.11,2.62,0.02,0.01,0.27,0.08,1.0,0.48,2.21
Meade County,59813,741356.0,0.15,2.15,0.09,0.02,0.29,0.13,0.7,0.44,1.89
Meagher County,2000,41343.0,0.2,4.68,0.0,0.0,0.79,0.18,1.78,0.98,3.41
Mecklenburg County,1065249,15789195.0,0.27,1.07,0.72,0.11,0.33,0.16,0.93,0.38,1.73
Mecosta County,43181,434585.0,0.06,2.32,0.06,0.02,0.74,0.23,0.69,0.6,1.93
Medina County,224910,3158661.0,0.21,1.71,0.03,0.02,0.15,0.08,0.76,0.31,1.73
Meeker County,23105,358269.0,0.11,2.44,0.02,0.01,0.23,0.07,0.83,0.41,2.16
Meigs County,35064,363154.0,0.02,2.46,0.03,0.0,0.55,0.27,0.65,0.48,2.09
Mellette County,2062,31165.0,0.25,1.99,0.0,0.0,2.07,0.32,2.08,0.86,3.38
Menard County,14539,219129.0,0.29,2.39,0.02,0.0,0.31,0.13,0.99,0.46,2.18
Mendocino County,87497,947760.0,0.52,1.53,0.02,0.04,0.44,0.23,0.74,0.5,1.67
Menifee County,6381,77193.0,0.02,3.07,0.0,0.01,0.62,0.17,0.63,0.53,2.65
Menominee County,27895,384912.0,0.1,2.4,0.01,0.01,0.61,0.21,0.75,0.76,2.54
Merced County,267390,2310399.0,1.05,0.55,0.06,0.12,0.45,0.27,0.42,0.34,1.42
Mercer County,638149,9446248.0,0.25,1.54,0.35,0.11,0.34,0.17,0.79,0.45,1.73
Meriwether County,21152,144162.0,0.04,1.05,0.74,0.01,0.44,0.15,0.47,0.31,1.51
Merrick County,7829,164135.0,0.17,3.57,0.02,0.0,0.38,0.13,1.11,0.66,3.15
Merrimack County,147958,2602383.0,0.05,2.26,0.03,0.05,0.2,0.1,0.96,0.41,1.96
Mesa County,148798,1539145.0,0.27,1.59,0.02,0.02,0.32,0.15,0.68,0.36,1.49
Metcalfe County,9990,106827.0,0.05,2.86,0.02,0.02,0.66,0.17,0.76,0.43,2.43
Miami County,173092,2173925.0,0.05,2.07,0.06,0.02,0.26,0.14,0.68,0.37,1.93
Miami-Dade County,2702602,27225052.0,1.24,0.3,0.3,0.03,0.36,0.14,0.61,0.4,1.42
Middlesex County,2594965,50035395.0,0.24,1.33,0.13,0.29,0.17,0.11,1.04,0.29,1.43
Midland County,243372,3092669.0,0.49,1.21,0.08,0.03,0.19,0.09,0.64,0.31,1.57
Mifflin County,46452,547454.0,0.04,2.48,0.02,0.01,0.37,0.11,0.63,0.5,2.06
Milam County,24479,305885.0,0.68,1.86,0.23,0.02,0.44,0.15,0.87,0.46,2.3
Millard County,12651,180035.0,0.32,1.97,0.01,0.02,0.27,0.06,0.7,0.38,1.76
Mille Lacs County,25635,370939.0,0.06,2.4,0.01,0.01,0.33,0.2,0.77,0.54,2.15
Miller County,74591,773297.0,0.07,1.83,0.71,0.01,0.58,0.21,0.73,0.54,2.2
Mills County,19820,436365.0,0.24,3.23,0.02,0.01,0.37,0.11,1.12,0.64,2.91
Milwaukee County,956586,13944386.0,0.44,1.5,0.94,0.12,0.72,0.26,1.01,0.69,2.29
Miner County,2255,50658.0,0.09,4.22,0.04,0.01,0.51,0.09,1.62,0.67,3.38
Mineral County,36920,491265.0,0.11,2.82,0.08,0.03,0.56,0.29,0.87,0.62,2.53
Mingo County,25150,213765.0,0.0,2.68,0.05,0.0,0.81,0.44,0.75,0.52,2.3
Minidoka County,20448,239614.0,0.82,1.57,0.0,0.01,0.41,0.1,0.53,0.34,2.1
Minnehaha County,183660,2565663.0,0.11,1.91,0.11,0.04,0.26,0.08,0.76,0.38,1.9
Missaukee County,14982,171067.0,0.08,2.51,0.01,0.01,0.43,0.21,0.64,0.45,2.06
Mississippi County,57450,568105.0,0.1,1.7,0.91,0.01,0.75,0.32,0.64,0.54,2.23
Missoula County,114231,1018594.0,0.05,1.58,0.01,0.03,0.31,0.1,0.7,0.36,1.24
Mitchell County,63396,690538.0,0.19,1.9,0.39,0.01,0.42,0.2,0.77,0.43,2.04
Mobile County,414328,4757470.0,0.07,1.31,1.26,0.05,0.65,0.26,0.8,0.59,2.31
Moca Municipio,37676,101396.0,1.84,0.01,0.0,0.0,1.06,0.48,0.56,0.41,1.66
Modoc County,9017,169824.0,0.63,3.4,0.03,0.06,0.73,0.27,1.72,0.52,2.96
Moffat County,13056,220518.0,0.42,2.52,0.03,0.0,0.3,0.12,0.87,0.46,2.25
Mohave County,204691,1764092.0,0.34,1.6,0.02,0.03,0.41,0.22,0.5,0.54,1.66
Moniteau County,15904,205743.0,0.11,2.26,0.08,0.0,0.3,0.15,0.72,0.4,1.99
Monmouth County,627551,13213458.0,0.26,1.69,0.17,0.1,0.19,0.14,0.99,0.36,1.7
Mono County,14058,174361.0,0.48,1.51,0.01,0.03,0.24,0.13,0.89,0.52,1.18
Monona County,8865,174283.0,0.04,4.32,0.01,0.01,0.62,0.14,1.34,0.82,3.72
Monongalia County,103715,1215054.0,0.05,2.05,0.09,0.07,0.55,0.16,1.01,0.44,1.73
Monroe County,1558442,20635857.0,0.22,1.77,0.36,0.06,0.44,0.2,0.86,0.5,1.91
Montague County,19406,279667.0,0.29,2.7,0.01,0.0,0.46,0.21,0.8,0.5,2.53
Montcalm County,62956,570974.0,0.07,1.91,0.03,0.01,0.37,0.15,0.51,0.34,1.69
Monterey County,433168,6159429.0,1.12,0.78,0.05,0.12,0.31,0.13,0.67,0.43,1.5
Montezuma County,25770,320375.0,0.29,1.87,0.01,0.0,0.48,0.16,0.83,0.62,2.15
Montgomery County,3697587,63683149.0,0.22,1.43,0.39,0.14,0.28,0.14,0.98,0.38,1.72
Montmorency County,9290,198731.0,0.07,5.18,0.01,0.0,0.81,0.67,1.24,1.18,4.54
Montour County,18302,239506.0,0.06,2.01,0.04,0.07,0.24,0.11,0.85,0.37,1.78
Montrose County,40908,479858.0,0.44,1.93,0.01,0.02,0.4,0.18,0.8,0.45,1.96
Moody County,6496,112390.0,0.12,2.38,0.02,0.06,0.49,0.15,1.03,0.53,2.43
Moore County,122509,1345785.0,0.26,1.43,0.18,0.04,0.26,0.11,0.72,0.36,1.63
Mora County,4605,26644.0,1.72,0.3,0.0,0.0,0.44,0.18,0.52,0.62,1.71
Morehouse Parish,26290,267997.0,0.03,1.6,1.38,0.01,0.81,0.19,0.75,0.59,2.73
Morgan County,367582,4336753.0,0.16,2.01,0.16,0.01,0.39,0.16,0.68,0.42,1.99
Morovis Municipio,31785,108604.0,1.88,0.0,0.0,0.0,0.97,0.43,0.47,0.45,1.64
Morrill County,4903,44201.0,0.31,1.67,0.02,0.0,0.19,0.08,0.59,0.35,1.49
Morris County,516982,11756993.0,0.26,1.47,0.07,0.2,0.11,0.11,1.02,0.27,1.61
Morrison County,32880,425263.0,0.04,2.34,0.01,0.01,0.28,0.12,0.7,0.47,1.94
Morrow County,46088,431610.0,0.13,1.56,0.01,0.0,0.19,0.08,0.49,0.29,1.43
Morton County,32990,385294.0,0.11,1.61,0.01,0.0,0.13,0.06,0.6,0.3,1.44
Motley County,1114,40598.0,1.46,6.87,0.31,0.0,1.1,0.73,3.22,1.44,7.43
Moultrie County,14711,219273.0,0.03,2.64,0.02,0.0,0.34,0.08,0.81,0.39,2.19
Mountrail County,9986,217571.0,0.21,1.67,0.02,0.01,0.38,0.13,1.03,0.59,2.28
Mower County,39386,620860.0,0.28,2.3,0.09,0.07,0.35,0.14,0.83,0.48,2.21
Muhlenberg County,31153,369941.0,0.03,2.72,0.09,0.01,0.55,0.3,0.71,0.51,2.6
Multnomah County,788459,11278735.0,0.23,1.55,0.11,0.14,0.34,0.14,0.99,0.37,1.3
Murray County,61635,665904.0,0.21,1.92,0.02,0.01,0.35,0.14,0.53,0.38,1.91
Muscatine County,42923,561796.0,0.42,1.8,0.04,0.02,0.27,0.09,0.66,0.37,1.97
Muscogee County,198647,2113139.0,0.19,0.98,1.34,0.05,0.74,0.32,0.76,0.59,2.06
Muskegon County,172707,1929032.0,0.14,1.78,0.4,0.01,0.49,0.24,0.66,0.5,1.99
Muskingum County,85933,807182.0,0.02,2.01,0.08,0.01,0.4,0.17,0.56,0.44,1.9
Muskogee County,69471,665229.0,0.14,1.23,0.35,0.02,0.54,0.18,0.69,0.47,1.86
Musselshell County,4766,77656.0,0.11,3.89,0.03,0.07,0.73,0.25,1.1,0.69,2.74
Nacogdoches County,65411,527267.0,0.36,1.14,0.41,0.03,0.54,0.19,0.59,0.37,1.55
Naguabo Municipio,26584,75887.0,1.5,0.0,0.0,0.0,0.75,0.17,0.43,0.32,1.36
Nance County,3569,45428.0,0.07,2.72,0.0,0.0,0.33,0.06,0.99,0.4,2.27
Nantucket County,10912,454563.0,0.31,3.68,0.24,0.17,0.44,0.22,1.51,0.79,3.05
Napa County,141005,3354544.0,0.88,1.61,0.06,0.19,0.25,0.15,1.07,0.56,2.11
Naranjito Municipio,29112,90964.0,1.71,0.0,0.0,0.0,0.87,0.44,0.42,0.37,1.35
Nash County,94125,845682.0,0.13,0.93,0.78,0.02,0.3,0.15,0.59,0.31,1.6
Nassau County,1441504,31499355.0,0.31,1.29,0.2,0.17,0.12,0.1,0.91,0.32,1.39
Natchitoches Parish,39051,282584.0,0.05,1.28,0.88,0.02,0.7,0.31,0.61,0.41,1.92
Natrona County,81023,1109025.0,0.19,1.93,0.03,0.02,0.23,0.12,0.68,0.39,1.87
Navajo County,107902,1155394.0,0.3,1.17,0.02,0.02,0.83,0.5,0.83,0.73,2.07
Navarro County,48239,438042.0,0.51,1.22,0.27,0.02,0.42,0.2,0.56,0.43,1.68
Nelson County,62965,702143.0,0.05,1.84,0.14,0.01,0.25,0.11,0.63,0.35,1.71
Nemaha County,17136,273509.0,0.06,2.77,0.03,0.01,0.32,0.1,1.0,0.51,2.27
Neosho County,16209,220341.0,0.15,2.79,0.03,0.01,0.65,0.09,0.95,0.44,2.52
Neshoba County,29437,261993.0,0.05,1.37,0.54,0.01,0.52,0.22,0.72,0.51,1.8
Ness County,3001,99990.0,0.69,5.91,0.02,0.02,0.62,0.17,2.22,0.93,4.99
Nevada County,107366,1438304.0,0.16,1.78,0.1,0.02,0.29,0.15,0.86,0.42,1.63
New Castle County,555036,8744270.0,0.23,1.34,0.58,0.11,0.33,0.16,0.97,0.43,1.82
New Hanover County,219866,2373422.0,0.11,1.45,0.32,0.02,0.39,0.14,0.78,0.39,1.52
New Haven County,862127,13015611.0,0.41,1.37,0.28,0.08,0.29,0.18,0.87,0.41,1.67
New Kent County,20523,241921.0,0.04,1.17,0.17,0.02,0.07,0.07,0.51,0.2,1.23
New London County,270772,4652743.0,0.24,1.84,0.12,0.09,0.23,0.17,0.96,0.51,1.92
New Madrid County,18030,204172.0,0.06,2.66,0.53,0.0,0.83,0.33,0.77,0.85,2.66
New York County,1653877,24746962.0,0.39,0.82,0.23,0.22,0.29,0.11,1.01,0.25,0.1
Newaygo County,47899,499397.0,0.13,2.08,0.03,0.01,0.42,0.18,0.59,0.4,1.81
Newberry County,37914,323516.0,0.17,1.26,0.66,0.0,0.42,0.16,0.5,0.38,1.88
Newport County,83204,1577978.0,0.16,2.22,0.11,0.06,0.28,0.15,1.14,0.55,1.93
Newport News city,180775,2260471.0,0.2,1.03,1.03,0.07,0.43,0.2,0.79,0.49,1.94
Newton County,220857,1905445.0,0.08,1.31,0.34,0.02,0.3,0.14,0.49,0.31,1.48
Nez Perce County,40014,512275.0,0.08,2.18,0.01,0.02,0.35,0.11,0.74,0.46,2.05
Niagara County,212675,2973140.0,0.08,2.3,0.28,0.03,0.47,0.21,0.84,0.57,2.39
Nicholas County,32557,341149.0,0.02,2.69,0.02,0.01,0.6,0.2,0.62,0.61,2.35
Nicollet County,33477,441677.0,0.08,1.89,0.05,0.03,0.23,0.08,0.8,0.36,1.62
Niobrara County,2479,36793.0,0.17,3.59,0.0,0.03,0.6,0.0,1.27,1.01,2.72
Noble County,73340,849370.0,0.16,2.03,0.02,0.01,0.25,0.13,0.59,0.35,1.95
Nobles County,21854,325859.0,0.64,1.82,0.1,0.14,0.4,0.16,0.68,0.39,2.03
Nodaway County,22744,227711.0,0.04,2.06,0.04,0.03,0.46,0.1,0.65,0.49,1.73
Nolan County,14990,214178.0,1.17,1.98,0.14,0.01,0.59,0.22,0.88,0.73,2.61
Nome Census Area,9869,120472.0,0.06,0.35,0.02,0.03,0.46,0.33,0.69,0.49,0.51
Norfolk County,694389,13342778.0,0.08,1.43,0.12,0.2,0.13,0.1,1.0,0.26,1.27
Norfolk city,245752,3814295.0,0.22,1.37,1.31,0.11,0.66,0.27,1.07,0.7,2.4
Norman County,6589,157518.0,0.24,4.07,0.04,0.02,0.55,0.15,1.54,0.83,3.59
North Slope Borough,9757,147964.0,0.12,1.05,0.02,0.14,0.31,0.39,0.95,0.52,0.75
Northampton County,333365,4729626.0,0.27,1.7,0.2,0.06,0.26,0.14,0.78,0.41,1.87
Northumberland County,105292,1220584.0,0.08,2.33,0.13,0.01,0.4,0.15,0.71,0.57,2.14
Northwest Arctic Borough,7715,130904.0,0.07,0.32,0.02,0.02,0.62,0.52,0.93,0.53,0.44
Norton County,5527,50673.0,0.09,1.62,0.04,0.01,0.21,0.05,0.65,0.33,1.49
Norton city,4043,26971.0,0.02,2.23,0.09,0.09,0.64,0.33,0.65,0.46,2.38
Nottoway County,15537,117449.0,0.07,1.74,0.74,0.0,0.74,0.09,0.5,0.39,2.3
Nowata County,10448,178472.0,0.12,2.57,0.07,0.01,0.66,0.38,0.85,0.59,2.96
Noxubee County,10942,93514.0,0.03,0.66,2.03,0.0,1.03,0.39,0.59,0.57,2.17
Nuckolls County,4318,85384.0,0.11,4.43,0.01,0.06,0.5,0.08,1.6,0.83,3.57
Nueces County,358484,4373028.0,1.43,0.67,0.09,0.04,0.37,0.14,0.65,0.5,1.86
Nye County,43296,409007.0,0.34,1.56,0.06,0.02,0.37,0.23,0.46,0.48,1.49
O'Brien County,13944,225627.0,0.13,2.67,0.02,0.02,0.28,0.07,0.86,0.44,2.14
Oakland County,1241860,27085590.0,0.1,1.97,0.39,0.17,0.25,0.15,1.31,0.39,2.32
Obion County,30659,402446.0,0.13,2.78,0.28,0.01,0.69,0.26,0.96,0.6,2.83
Ocean County,589699,8697591.0,0.16,1.8,0.05,0.04,0.19,0.15,0.74,0.39,1.73
Oceana County,26317,316210.0,0.35,2.22,0.03,0.0,0.47,0.19,0.71,0.5,2.08
Ochiltree County,10484,172766.0,1.29,1.48,0.0,0.01,0.33,0.23,0.77,0.47,2.21
Oconee County,111898,1130820.0,0.1,1.6,0.12,0.03,0.28,0.11,0.69,0.32,1.58
Oconto County,37465,532265.0,0.05,2.54,0.01,0.01,0.27,0.13,0.75,0.41,2.18
Ogemaw County,20979,272800.0,0.06,3.18,0.01,0.02,0.62,0.33,0.88,0.6,2.77
Oglala Lakota County,14291,84633.0,0.08,0.09,0.0,0.0,1.09,0.49,0.72,0.67,1.37
Ogle County,51619,646935.0,0.21,1.85,0.03,0.01,0.24,0.14,0.64,0.36,1.73
Oglethorpe County,14654,182279.0,0.09,2.13,0.47,0.01,0.5,0.17,0.81,0.37,2.33
Ohio County,72879,1210465.0,0.05,3.41,0.16,0.03,0.62,0.24,1.13,0.76,2.9
Okaloosa County,197591,2536222.0,0.2,1.55,0.18,0.06,0.24,0.12,0.74,0.46,1.72
Okanogan County,41377,442093.0,0.41,1.59,0.01,0.02,0.52,0.17,0.73,0.44,1.86
Okeechobee County,40228,436506.0,0.62,1.79,0.23,0.02,0.61,0.25,0.55,0.63,2.21
Okfuskee County,12160,159319.0,0.13,2.01,0.24,0.0,0.82,0.26,0.88,0.65,2.6
Oklahoma County,774203,12315821.0,0.54,1.69,0.52,0.1,0.6,0.2,1.03,0.56,2.5
Okmulgee County,39121,391162.0,0.1,1.56,0.25,0.01,0.53,0.28,0.71,0.53,2.07
Oktibbeha County,49392,296909.0,0.03,0.9,0.62,0.05,0.5,0.16,0.74,0.31,1.29
Oldham County,66716,1399427.0,0.1,1.97,0.08,0.03,0.14,0.08,0.98,0.31,1.89
Oliver County,1822,71500.0,0.2,5.02,0.02,0.02,0.17,0.13,2.21,0.68,3.69
Olmsted County,151685,2436357.0,0.11,1.76,0.13,0.13,0.22,0.1,1.07,0.36,1.58
Oneida County,271960,4265738.0,0.18,2.6,0.2,0.11,0.58,0.2,1.05,0.69,2.51
Onondaga County,467669,7967379.0,0.17,2.17,0.4,0.13,0.56,0.22,1.17,0.58,2.25
Onslow County,192685,1362680.0,0.19,1.07,0.24,0.03,0.23,0.16,0.46,0.33,1.21
Ontario County,109491,1509812.0,0.13,2.02,0.06,0.03,0.26,0.12,0.9,0.4,1.87
Ontonagon County,6072,108619.0,0.07,4.7,0.01,0.01,0.77,0.5,1.31,1.21,4.0
Orange County,5133716,71727988.0,0.52,0.89,0.13,0.23,0.24,0.11,0.72,0.33,1.42
Orangeburg County,89116,671676.0,0.04,0.71,1.43,0.02,0.54,0.24,0.6,0.4,1.87
Oregon County,10779,102349.0,0.05,2.61,0.0,0.03,0.69,0.15,0.75,0.52,2.3
Orleans County,68535,945297.0,0.09,2.67,0.08,0.02,0.44,0.16,0.92,0.5,2.31
Orleans Parish,388182,7717252.0,0.25,1.49,2.54,0.12,1.2,0.43,1.77,1.09,2.91
Orocovis Municipio,21906,102228.0,3.19,0.01,0.0,0.0,1.78,0.96,0.81,0.56,2.69
Osage County,76854,1022325.0,0.07,2.06,0.14,0.01,0.33,0.14,0.8,0.43,2.15
Osborne County,3684,42173.0,0.05,2.57,0.01,0.01,0.42,0.08,1.04,0.44,2.15
Osceola County,354538,2391436.0,0.53,0.71,0.09,0.03,0.24,0.09,0.35,0.33,1.13
Oscoda County,8304,185327.0,0.08,5.76,0.04,0.0,1.09,0.7,1.32,1.12,4.74
Oswego County,119833,1465699.0,0.06,2.29,0.02,0.01,0.46,0.21,0.7,0.49,1.97
Otero County,83455,947919.0,0.93,1.53,0.07,0.03,0.58,0.25,0.83,0.67,2.15
Otoe County,15875,288044.0,0.23,2.84,0.01,0.01,0.31,0.09,0.97,0.53,2.57
Otsego County,84997,1217701.0,0.09,2.49,0.04,0.03,0.41,0.19,0.93,0.56,2.01
Ottawa County,358694,4737269.0,0.15,1.83,0.02,0.04,0.23,0.1,0.74,0.36,1.81
Otter Tail County,57790,976688.0,0.09,2.75,0.03,0.02,0.26,0.1,0.98,0.46,2.29
Ouachita County,24378,189447.0,0.05,1.33,1.04,0.0,0.65,0.21,0.76,0.43,2.11
Ouachita Parish,156433,1525286.0,0.05,1.32,1.07,0.02,0.72,0.23,0.74,0.56,2.07
Ouray County,4653,61333.0,0.12,1.99,0.0,0.01,0.22,0.13,1.06,0.43,1.37
Outagamie County,183288,2470966.0,0.09,1.9,0.03,0.08,0.21,0.07,0.73,0.34,1.85
Overton County,21995,255242.0,0.03,3.08,0.02,0.01,0.63,0.16,0.9,0.45,2.8
Owen County,31643,377749.0,0.04,2.42,0.02,0.01,0.4,0.15,0.64,0.43,2.02
Owsley County,4497,51118.0,0.03,4.2,0.16,0.0,1.53,0.59,1.63,0.73,3.55
Owyhee County,11384,111875.0,0.68,1.81,0.0,0.0,0.61,0.16,0.65,0.4,1.91
Oxford County,57230,771439.0,0.04,2.84,0.01,0.02,0.44,0.2,0.84,0.62,2.41
Ozark County,9328,63958.0,0.04,2.05,0.0,0.01,0.59,0.17,0.61,0.23,1.72
Ozaukee County,87817,1536950.0,0.06,1.89,0.03,0.04,0.12,0.06,0.99,0.29,1.73
Pacific County,20940,279130.0,0.31,2.78,0.01,0.04,0.64,0.24,0.97,0.76,2.52
Page County,39087,505031.0,0.08,2.61,0.05,0.03,0.43,0.16,0.88,0.52,2.23
Palm Beach County,1426772,20872194.0,0.44,1.39,0.39,0.05,0.31,0.17,0.86,0.48,1.79
Palo Alto County,9110,212421.0,0.09,4.19,0.05,0.02,0.36,0.08,1.47,0.76,3.49
Palo Pinto County,28109,394802.0,0.66,2.38,0.08,0.02,0.6,0.26,0.75,0.67,2.61
Pamlico County,12803,185954.0,0.1,2.36,0.54,0.01,0.47,0.27,0.93,0.53,2.42
Panola County,57803,518783.0,0.1,1.29,0.66,0.01,0.38,0.12,0.56,0.31,1.82
Park County,62177,838972.0,0.11,2.22,0.01,0.01,0.24,0.09,0.82,0.47,1.7
Parke County,17062,176187.0,0.03,2.23,0.02,0.0,0.33,0.14,0.51,0.41,1.92
Parker County,125963,1358560.0,0.18,1.27,0.02,0.01,0.15,0.08,0.55,0.22,1.24
Parmer County,9871,99523.0,1.28,0.7,0.03,0.0,0.35,0.06,0.53,0.26,1.55
Pasco County,498136,6536191.0,0.34,2.1,0.12,0.05,0.4,0.2,0.88,0.54,2.13
Pasquotank County,39546,438283.0,0.12,1.38,0.94,0.03,0.53,0.19,0.77,0.52,2.02
Passaic County,510563,6422563.0,0.82,0.78,0.23,0.1,0.37,0.12,0.57,0.35,1.31
Patillas Municipio,17769,58250.0,2.25,0.0,0.0,0.0,1.3,0.45,0.58,0.5,1.87
Patrick County,17958,153508.0,0.07,1.99,0.13,0.01,0.44,0.15,0.53,0.37,1.96
Paulding County,171350,1496497.0,0.07,1.09,0.2,0.01,0.14,0.07,0.45,0.21,1.18
Pawnee County,25928,363205.0,0.11,2.52,0.05,0.01,0.45,0.13,1.0,0.52,2.42
Payette County,22839,187438.0,0.31,1.38,0.0,0.01,0.3,0.11,0.41,0.31,1.35
Payne County,80634,641694.0,0.1,1.62,0.08,0.09,0.64,0.11,0.79,0.4,1.66
Peach County,27027,253963.0,0.2,0.95,1.02,0.02,0.47,0.2,0.66,0.42,1.68
Pearl River County,55049,411266.0,0.05,1.32,0.23,0.0,0.3,0.16,0.48,0.3,1.34
Pecos County,15804,204610.0,1.75,0.66,0.08,0.01,0.29,0.09,0.54,0.55,2.02
Pembina County,7050,307505.0,0.23,6.51,0.01,0.03,0.38,0.22,2.31,1.11,5.51
Pemiscot County,17344,206977.0,0.08,2.44,0.87,0.0,0.96,0.36,0.88,0.78,2.94
Pend Oreille County,13066,242237.0,0.13,3.41,0.01,0.03,0.63,0.3,1.34,0.63,2.87
Pender County,57630,735429.0,0.18,1.88,0.45,0.02,0.44,0.21,0.81,0.51,2.06
Pendleton County,21668,263505.0,0.02,2.66,0.05,0.0,0.48,0.14,0.67,0.43,2.18
Pennington County,122323,1474787.0,0.13,1.85,0.03,0.02,0.34,0.1,0.69,0.46,1.86
Penobscot County,152284,2147150.0,0.04,2.81,0.02,0.03,0.52,0.21,1.02,0.6,2.4
Peoria County,186145,2493541.0,0.14,1.7,0.57,0.07,0.54,0.26,0.88,0.57,2.03
Pepin County,7282,102690.0,0.05,2.66,0.01,0.01,0.35,0.09,0.9,0.39,2.14
Perkins County,5868,108575.0,0.09,3.24,0.0,0.0,0.29,0.08,1.32,0.47,2.38
Perquimans County,13506,126636.0,0.07,1.57,0.54,0.01,0.48,0.22,0.76,0.45,1.8
Perry County,208950,2327628.0,0.04,2.2,0.16,0.01,0.44,0.18,0.66,0.42,2.0
Pershing County,6661,52308.0,0.36,0.99,0.07,0.02,0.23,0.06,0.53,0.22,1.12
Person County,39240,315097.0,0.08,1.14,0.51,0.0,0.33,0.21,0.51,0.36,1.49
Petersburg Borough,3275,63490.0,0.32,2.05,0.02,0.2,0.24,0.15,0.7,0.5,1.38
Petersburg city,32037,366670.0,0.15,0.48,2.64,0.04,1.0,0.49,0.79,0.94,2.63
Petroleum County,453,46429.0,0.0,21.74,0.0,0.33,2.23,1.15,12.08,1.46,8.76
Pettis County,42309,458157.0,0.22,2.2,0.09,0.02,0.49,0.16,0.68,0.5,2.16
Peñuelas Municipio,21661,111608.0,2.76,0.0,0.0,0.0,1.5,0.6,0.89,0.65,2.39
Phelps County,54036,606283.0,0.07,2.18,0.05,0.06,0.42,0.12,0.89,0.46,1.94
Philadelphia County,1569657,16662277.0,0.3,0.86,1.01,0.16,0.63,0.28,0.89,0.58,1.19
Phillips County,33430,439005.0,0.15,2.14,1.19,0.01,0.83,0.37,1.03,0.71,2.7
Piatt County,16433,260282.0,0.03,2.25,0.02,0.01,0.13,0.12,0.82,0.39,2.06
Pickaway County,57075,707040.0,0.03,2.1,0.08,0.01,0.3,0.12,0.65,0.35,1.8
Pickens County,171962,1789697.0,0.08,1.91,0.21,0.03,0.42,0.18,0.71,0.42,1.87
Pickett County,5071,39313.0,0.02,1.91,0.02,0.0,0.37,0.08,0.57,0.36,1.69
Pierce County,917007,12333587.0,0.2,1.43,0.13,0.11,0.27,0.14,0.69,0.37,1.62
Pike County,294344,3520187.0,0.08,2.28,0.29,0.02,0.52,0.23,0.8,0.47,2.26
Pima County,1007257,12580897.0,0.83,1.3,0.07,0.06,0.44,0.21,0.87,0.51,1.82
Pinal County,405537,3788142.0,0.57,1.05,0.07,0.03,0.32,0.15,0.52,0.43,1.44
Pine County,29057,386937.0,0.07,2.5,0.04,0.01,0.38,0.16,0.69,0.65,2.14
Pinellas County,949842,12680305.0,0.22,1.94,0.26,0.08,0.36,0.17,0.98,0.48,2.02
Pipestone County,9229,251509.0,0.31,4.86,0.06,0.05,0.63,0.23,1.64,0.81,4.07
Piscataquis County,16960,328837.0,0.09,4.51,0.02,0.02,0.81,0.39,1.34,0.98,3.71
Pitkin County,17747,302759.0,0.21,1.94,0.02,0.04,0.16,0.1,0.99,0.49,1.1
Pitt County,176484,1442303.0,0.11,0.99,0.64,0.03,0.45,0.21,0.64,0.4,1.5
