County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Coos County,95040,1074263.0,0.1,2.27,0.03,0.02,0.39,0.2,0.78,0.55,1.98
Coosa County,10955,110320.0,0.0,1.82,0.87,0.0,0.39,0.31,0.48,0.64,2.29
Copiah County,28748,227468.0,0.05,0.93,1.08,0.0,0.51,0.24,0.6,0.42,1.76
Corozal Municipio,34933,92219.0,1.7,0.01,0.0,0.0,0.94,0.48,0.51,0.35,1.48
Corson County,4177,65566.0,0.03,1.48,0.02,0.01,2.29,1.35,2.07,0.62,3.0
Cortland County,48334,598271.0,0.07,2.3,0.04,0.02,0.42,0.12,0.81,0.57,1.83
Coryell County,75818,862002.0,0.47,1.47,0.37,0.04,0.44,0.25,0.68,0.71,1.87
Coshocton County,36602,431026.0,0.03,2.61,0.03,0.01,0.41,0.19,0.57,0.56,2.21
Costilla County,3628,56923.0,3.62,1.68,0.02,0.07,1.62,0.5,1.4,0.9,4.1
Cottle County,1498,33534.0,2.18,3.58,0.68,0.0,1.64,0.71,1.74,1.95,4.64
Cotton County,6000,100092.0,0.22,2.62,0.09,0.0,0.5,0.3,1.08,0.53,2.65
Cottonwood County,11437,202482.0,0.24,3.06,0.02,0.1,0.54,0.17,0.99,0.6,2.69
Covington County,56691,702696.0,0.06,2.43,0.63,0.01,0.65,0.34,0.87,0.51,2.68
Covington city,5675,70584.0,0.07,2.9,0.43,0.05,0.68,0.2,0.64,0.66,3.19
Coweta County,138015,1411461.0,0.09,1.08,0.23,0.02,0.15,0.08,0.51,0.23,1.19
Cowley County,35732,519230.0,0.32,2.49,0.08,0.05,0.5,0.16,0.82,0.63,2.48
Cowlitz County,103590,1191529.0,0.24,1.91,0.01,0.03,0.43,0.2,0.59,0.46,1.78
Craig County,19694,253943.0,0.09,2.15,0.06,0.02,0.49,0.16,0.83,0.63,2.54
Craighead County,104246,789581.0,0.09,1.25,0.22,0.02,0.33,0.11,0.54,0.29,1.32
Crane County,4836,63935.0,1.3,0.68,0.09,0.0,0.24,0.05,0.39,0.35,1.62
Craven County,103374,1062635.0,0.14,1.33,0.44,0.07,0.32,0.18,0.67,0.43,1.65
Crawford County,344145,4113704.0,0.09,2.44,0.06,0.02,0.43,0.18,0.76,0.5,2.2
Creek County,70899,1010384.0,0.12,2.28,0.06,0.01,0.44,0.14,0.85,0.51,2.49
Crenshaw County,13866,233413.0,0.09,3.08,1.03,0.04,0.75,0.28,1.14,0.54,3.49
Crisp County,23005,194381.0,0.09,1.42,1.04,0.02,0.77,0.38,0.74,0.49,2.18
Crittenden County,58432,1023569.0,0.1,1.94,1.88,0.02,0.98,0.37,1.09,0.84,3.26
Crockett County,18390,239802.0,0.61,2.26,0.34,0.0,0.6,0.18,0.94,0.49,2.89
Crook County,29064,307299.0,0.11,1.88,0.0,0.01,0.24,0.16,0.52,0.41,1.53
Crosby County,5895,117158.0,2.83,2.0,0.2,0.0,1.09,0.39,1.51,0.94,4.32
Cross County,17164,247963.0,0.05,2.59,0.76,0.01,0.63,0.24,0.92,0.53,2.77
Crow Wing County,63505,845368.0,0.04,2.41,0.01,0.01,0.24,0.09,0.83,0.52,2.07
Crowley County,5514,35292.0,0.56,1.13,0.08,0.01,0.45,0.39,0.4,0.53,1.42
