,TotalPop,Hispanic,White,Black,Asian,Income,Poverty,Unemployment,Professional,Service,Drive,1,2,3,4,5,6,7,8,9,10
43347,4568,66.0,0.7,32.6,0.0,22365.0,46.8,13.9,13.7,39.7,20.7,0,0,0,3,0,0,3,0,5,5
43348,1616,68.9,0.8,30.3,0.0,23125.0,41.6,16.7,18.3,41.8,10.2,0,0,0,3,3,3,3,5,5,5
43349,5220,22.1,69.8,3.1,4.4,81667.0,11.9,7.4,40.2,15.6,46.6,0,1,1,1,1,1,1,3,3,1
43350,5474,68.5,0.4,28.9,0.2,25261.0,35.8,10.3,10.8,51.4,7.7,0,0,0,3,0,0,0,0,5,5
43351,2970,64.1,3.3,28.4,1.0,28777.0,38.5,6.4,12.1,32.0,13.8,0,0,0,3,0,0,0,0,5,5
43352,1561,85.7,1.0,12.9,0.0,20559.0,50.6,17.6,19.2,40.9,15.9,0,0,0,3,0,3,3,0,5,5
43353,3995,67.2,1.7,29.8,1.0,23590.0,30.7,4.7,32.5,30.8,13.9,0,0,0,3,0,0,0,0,0,5
43354,4510,65.5,1.3,30.6,1.7,31336.0,35.8,8.9,25.9,28.4,29.2,0,0,0,3,0,0,0,0,5,5
43355,1982,72.7,2.3,19.7,3.9,20859.0,43.5,2.8,18.9,33.1,9.8,0,0,0,3,0,0,0,0,5,5
43356,4504,62.2,1.5,34.2,0.8,23255.0,39.9,13.3,19.9,44.0,5.8,0,0,0,3,0,0,0,0,5,5
43357,1520,54.3,41.9,3.4,0.0,76771.0,3.0,9.6,32.0,20.7,56.3,0,1,0,1,1,1,2,3,0,0
43358,5240,67.1,0.6,31.3,0.1,36500.0,27.5,10.9,23.3,31.4,23.3,0,0,0,3,0,0,0,0,5,5
43359,7202,52.7,27.8,14.3,4.6,106731.0,4.6,4.1,48.6,20.6,55.5,0,1,1,1,1,5,1,1,0,0
43360,5934,58.1,1.1,32.6,4.0,21923.0,32.7,9.6,12.5,38.3,20.6,0,0,0,3,0,0,0,0,5,5
43361,3717,62.9,0.5,34.6,0.0,23689.0,32.5,7.9,21.4,43.8,18.9,0,0,0,3,0,0,0,0,5,5
43362,2480,25.0,65.5,3.4,5.3,76600.0,10.6,6.4,29.5,10.4,59.5,0,1,1,1,1,1,2,3,4,4
43363,5795,62.2,0.4,35.6,0.3,28451.0,34.0,8.9,17.4,37.9,19.3,0,0,0,3,0,0,0,0,5,5
43364,1193,34.1,5.2,55.6,3.1,15060.0,43.5,10.9,17.7,61.1,10.5,0,0,2,3,3,3,3,5,8,8
43365,5417,60.0,3.5,34.3,2.0,21508.0,35.2,21.5,18.0,35.9,33.3,0,0,2,3,3,3,3,5,5,5
43366,7919,59.3,1.3,37.7,0.1,28732.0,41.3,19.8,11.7,47.7,18.1,0,0,0,3,0,3,3,0,5,5
43367,7637,54.4,0.6,45.0,0.0,21436.0,59.8,20.8,18.6,57.0,10.7,0,0,2,3,3,3,3,5,5,5
43368,5511,57.8,1.5,40.0,0.0,19425.0,53.5,9.8,11.8,57.4,11.0,0,0,0,3,0,0,3,0,5,5
43369,4423,58.6,2.4,38.2,0.3,24874.0,43.2,15.0,18.1,38.7,31.7,0,0,2,3,3,3,3,5,5,5
43370,5086,53.5,1.0,44.7,0.0,33525.0,27.2,11.3,17.2,46.4,18.6,0,0,0,3,0,0,0,0,5,5
43371,2828,61.4,25.5,8.0,4.3,73622.0,12.2,11.2,32.9,28.8,41.8,0,0,0,3,0,0,0,0,0,0
43372,4847,54.0,1.1,44.0,1.0,17154.0,47.9,11.2,26.2,31.0,26.7,0,0,2,3,0,3,3,0,5,5
43373,3016,82.3,0.3,15.6,1.4,17912.0,54.9,16.6,10.0,46.2,18.8,0,0,0,3,0,3,3,0,5,5
43374,4515,76.0,0.8,21.7,1.5,34738.0,27.9,15.0,19.5,31.0,19.2,0,0,0,3,0,0,0,0,5,5
43375,1234,53.4,36.1,6.1,1.9,48289.0,6.7,4.7,36.2,17.6,37.9,0,0,0,0,0,0,0,3,0,0
43376,1862,93.0,0.6,5.2,1.0,17905.0,50.5,9.6,19.1,32.3,17.9,0,0,0,3,0,0,0,0,5,5
43377,3760,33.9,59.8,1.7,2.4,73841.0,9.3,4.8,30.6,20.5,57.7,0,1,1,1,1,1,2,3,4,0
43378,4417,70.7,0.2,29.1,0.0,14667.0,50.3,9.2,14.4,43.9,20.3,0,0,0,3,0,0,0,0,5,5
43379,1984,53.9,38.6,4.4,0.4,71319.0,14.7,3.1,28.4,26.7,50.6,0,0,0,3,0,0,0,3,0,0
43381,1031,25.8,67.5,6.7,0.0,78750.0,11.3,6.2,33.2,24.0,43.1,0,1,1,1,1,1,2,3,3,4
43382,996,57.9,0.0,41.4,0.7,25403.0,29.3,11.3,21.9,39.2,30.1,0,0,2,3,0,0,0,0,5,5
43383,2324,58.6,26.9,4.3,7.3,76328.0,6.5,9.8,35.7,25.5,41.8,0,0,0,3,0,0,0,3,0,0
43384,3269,57.0,0.6,41.5,0.0,29549.0,48.4,15.8,13.1,44.8,22.2,0,0,2,3,3,3,3,5,5,5
43385,1440,46.8,2.4,50.8,0.0,28064.0,41.8,21.7,8.5,31.8,30.2,0,0,2,3,3,3,3,5,8,8
43387,5615,71.3,1.3,20.0,6.7,19406.0,39.1,10.0,12.6,41.9,2.0,0,0,0,3,0,0,0,0,5,5
43388,7140,61.0,1.0,31.8,0.2,27585.0,42.0,13.4,19.7,49.9,10.7,0,0,0,3,0,0,0,0,5,5
43389,4857,70.9,0.7,27.7,0.2,28090.0,44.0,6.9,24.5,38.4,14.7,0,0,0,3,0,0,0,0,5,5
43390,5522,63.9,1.1,29.6,2.0,29327.0,32.4,15.0,23.4,39.9,19.8,0,0,0,3,0,0,0,0,5,5
43391,5071,72.7,0.3,21.8,1.5,30587.0,42.1,8.6,22.9,37.5,14.9,0,0,0,3,0,0,0,0,5,5
43392,4007,59.5,1.1,36.7,0.0,19396.0,55.1,12.2,18.9,38.3,9.2,0,0,0,3,0,3,3,0,5,5
43393,2973,61.8,0.1,37.1,0.0,24594.0,38.7,7.3,8.8,42.0,23.9,0,0,0,3,0,0,0,0,5,5
43394,6247,56.0,2.8,35.7,4.0,35593.0,35.8,17.9,18.3,38.5,9.9,0,0,0,3,0,0,3,0,5,5
43395,3971,50.6,3.0,38.2,6.5,30990.0,27.4,8.7,34.6,29.9,15.8,0,0,0,3,0,0,0,0,0,5
43396,3589,62.0,2.8,33.9,0.4,33226.0,32.9,8.0,19.5,44.1,10.4,0,0,0,3,0,0,0,0,5,5
43397,3780,41.4,54.2,1.7,1.0,65099.0,15.4,5.9,36.2,16.9,59.6,0,1,1,1,1,1,2,3,3,0
43398,8449,54.2,1.1,43.1,0.0,32680.0,38.3,15.5,14.4,44.8,12.9,0,0,0,3,0,0,0,0,5,5
